,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
648,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89914,89914,8991400,2245472792,2069383576,1917047527,2228154604
649,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99975,99975,9997500,2500256340,2487250390,2481192367,2500134555
650,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110030,110030,11003000,2750462646,2561090582,2391583793,2734003136
651,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120232,120232,12023200,3008260255,2837698359,2684081847,2996104527
652,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,129917,129917,12991700,3244842800,3169798142,3109891810,3242715578
653,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139839,139839,13983900,3494484059,3169086176,2886605879,3457229831
654,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,150077,150077,15007700,3757486041,3624611738,3501179093,3751424127
655,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,160144,160144,16014400,4000958403,3906303385,3824514835,3998132081
656,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,169870,169870,16987000,4241784163,3653727916,3166475655,4142921637
657,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179882,179882,17988200,4498780625,3919420676,3434460675,4408122013
658,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189553,189553,18955300,4737508922,4710021858,4689777394,4737269198
659,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,199930,199930,19993000,5004101810,4253635572,3649657233,4869948686
660,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,9950,9950,995000,248969398.8,166288079.3,113560827,215715538.2
661,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20034,20034,2003400,499319401.5,479520057.5,468937273.3,498158786.7
662,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,30157,30157,3015700,752283808.8,723501183.7,699593392.2,750485002.8
663,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,40078,40078,4007800,1003871535,831130937,693002903.3,966904513.9
664,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50113,50113,5011300,1252762552,1059913284,910639944.9,1217270399
665,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59941,59941,5994100,1493437412,1376383839,1279961809,1482134793
666,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,70117,70117,7011700,1753335250,1135440613,760753554.3,1504534501
667,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80152,80152,8015200,2007003661,1982534662,1969456229,2006609064
668,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,90163,90163,9016300,2253362295,2111949790,1987767693,2242207026
669,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,100023,100023,10002300,2498364748,2203670590,1955174662,2455901507
670,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,109816,109816,10981600,2743788143,2653011697,2576073186,2739987734
671,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120082,120082,12008200,3004733344,2732506990,2493375198,2974041521
672,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,130378,130378,13037800,3259790992,2690007281,2245348314,3140898098
673,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139921,139921,13992100,3496083016,3487274596,3487807453,3496045486
674,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,150274,150274,15027400,3756448895,3416877230,3121464597,3718937978
