,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
67,CYM,7,8,15,7,44025,10000,200,50.0,16498.655248231596,5,2,11400,19275.0,2250.0,2250.0,2250.0
68,CYR,7,3,10,3,16800,5000,500,10.0,6737.952211169207,2,2,3500,9312.5,0,0,0
69,CYR,4,11,15,4,38500,5000,500,10.0,12298.373876248843,4,1,5000,25187.5,2437.5,2437.5,2437.5
70,DBD,7,3,10,3,24100,8000,500,16.0,10427.3678366115,1,3,2300,4425.0,1875.0,1875.0,1875.0
71,DBD,7,8,15,7,57500,26500,100,265.0,28542.774917656483,6,4,14300,17650.0,6312.5,3075.0,7237.5
72,DCN,7,3,10,3,47056,17600,756,23.280423280423282,22443.741577553417,1,2,2000,7625.0,0,0,0
73,DCN,9,6,15,6,40006,18800,200,94.0,20214.886049641733,6,2,6900,10925.0,7825.0,5700.0,8150.0
74,DI ,3,7,10,3,86400,25000,1000,25.0,37540.11188049391,3,2,17500,50500.0,13750.0,13750.0,13750.0
75,DI ,6,9,15,6,117800,39700,200,198.5,50311.62887444611,2,3,10500,15600.0,13562.5,14012.5,14912.5
76,DLT,7,3,10,3,52600,18000,1000,18.0,23815.541144387207,1,1,1000,125.0,0,0,0
77,DLT,12,3,15,3,75300,10000,200,50.0,22756.317804073664,1,1,5000,0.0,0,0,0
78,DP ,4,6,10,4,46600,11000,200,55.0,19413.397435791605,3,1,5800,18762.5,0,0,0
79,DP ,9,6,15,6,43800,10000,100,100.0,16358.484037342825,5,2,10600,38200.0,21162.5,15337.5,22462.5
80,DSI,6,4,10,4,49834,20000,200,100.0,24114.766347613655,4,1,16200,2000.0,0,0,0
81,DSI,9,6,15,6,60600,30000,200,150.0,31627.83584123327,3,3,3000,250.0,250.0,250.0,250.0
82,EFG,7,3,10,3,166000,32000,2500,12.8,61347.37158183715,1,2,5000,78.10000000000002,0,0,0
83,EFG,7,8,15,7,172000,32000,500,64.0,62157.05913249114,1,1,2500,78.1250000000002,0,0,0
